method,attack,poison_frac,seed,all,rsna,kermany,asr,auroc_kerm_01,auroc_kerm_02,auroc_kerm_03,auroc_kerm_04,auroc_kerm_05,auroc_kerm_06,auroc_kerm_07,auroc_kerm_08,auroc_rsna_01,auroc_rsna_02,auroc_rsna_03,auroc_rsna_04,auroc_rsna_05,auroc_rsna_06,auroc_rsna_07,auroc_rsna_08,auroc_rsna_09,auroc_rsna_10,auroc_rsna_11,auroc_rsna_12
multikrum,none,0.0,0,0.9802778183532488,0.9746465369238144,0.9873990667040561,0.053314121037463975,0.9985380116959064,1.0,0.9991666666666666,1.0,0.9990009990009989,1.0,1.0,1.0,0.9782352941176471,0.9790123456790123,0.984375,0.9971590909090909,0.9977311401020986,0.9863247863247864,0.9973474801061009,0.9951388888888888,0.9961734693877551,0.9765395894428153,0.9983805668016195,0.9983805668016195
multikrum,none,0.0,1,0.9833168832031658,0.9791740759895431,0.9877873408255858,0.036983669548511046,0.9911949685534591,1.0,0.9946070878274268,1.0,1.0,1.0,1.0,1.0,0.984406779661017,0.9899686520376175,0.9774212715389187,0.9947521865889213,0.9891737891737891,1.0,0.9963942307692307,0.9829411764705882,0.9993730407523511,0.9895833333333333,0.9920424403183024,0.99609375
multikrum,none,0.0,2,0.9821000741279725,0.9747036861233714,0.9868885581368594,0.08981748318924111,1.0,0.9992229992229992,0.9939613526570048,1.0,0.99812734082397,0.9980842911877394,1.0,1.0,0.9886621315192744,0.9808641975308642,0.9873490511788385,0.993193420306296,0.9954622802041974,0.9801136363636364,0.9725947521865889,0.9886621315192744,1.0,0.9912023460410556,0.99453125,0.9857142857142858
multikrum,none,0.0,3,0.9820691305912809,0.9761565037914479,0.986715991860624,0.06772334293948126,0.9976190476190476,1.0,1.0,1.0,1.0,1.0,0.9953051643192489,1.0,0.9907341411261582,0.9875366568914956,0.9951923076923077,0.9936745255894193,0.9879862700228833,0.9884991374353077,0.9919753086419754,0.9853316326530612,0.9854111405835544,0.9979166666666667,0.9852941176470589,0.9976851851851851
multikrum,none,0.0,4,0.9813260306586741,0.9746833769036941,0.9856698088109465,0.08213256484149856,1.0,1.0,1.0,0.9830687830687831,1.0,1.0,1.0,1.0,0.9831059129304744,0.9937304075235109,0.988116458704694,0.9863247863247864,0.9977272727272727,0.9755681818181818,0.9943573667711598,0.9888235294117647,1.0,0.9974489795918368,0.9993055555555556,0.9954044117647058
multikrum,stealthy,0.1,0,0.9828782130653623,0.9782374903472167,0.98724807121235,0.3150816522574448,1.0,0.9992690058479532,0.9983333333333333,0.9943609022556391,0.9990009990009989,1.0,1.0,1.0,0.9764705882352942,0.987037037037037,0.9918981481481481,0.9954545454545455,0.9982983550765739,0.9851851851851852,0.9986737400530504,0.9986111111111111,0.9974489795918368,0.9794721407624634,0.9991902834008097,0.9991902834008097
multikrum,stealthy,0.1,1,0.9838199432004081,0.9784665594528791,0.9872372858200853,0.329971181556196,0.9905660377358491,0.9980741454020221,0.99768875192604,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,0.9780564263322884,0.9637551990493167,0.9912536443148687,0.9886039886039886,0.9988425925925926,0.9939903846153846,0.9823529411764705,1.0,0.9833333333333334,0.9807692307692308,0.9968750000000001
multikrum,stealthy,0.1,2,0.9826827682269945,0.9755084979915127,0.9876651063799191,0.521133525456292,1.0,1.0,0.9939613526570048,1.0,1.0,0.9923371647509578,1.0,1.0,0.9886621315192744,0.991358024691358,0.9873490511788384,0.9960294951786727,0.9960294951786728,0.9818181818181818,0.9755102040816327,0.9879062736205593,0.9993827160493827,0.9875366568914956,0.996875,0.9928571428571429
multikrum,stealthy,0.1,3,0.9803840729976232,0.9745756908086612,0.9857453065567994,0.3539865513928914,0.9988095238095238,1.0,1.0,1.0,1.0,1.0,0.9929577464788732,1.0,0.9900213827512473,0.9831378299120235,0.9951923076923077,0.9942495687176538,0.9834096109839817,0.9948246118458884,0.9882716049382716,0.9897959183673469,0.98342175066313,0.9972222222222222,0.9834558823529411,0.9965277777777778
multikrum,stealthy,0.1,4,0.9832099459807759,0.9770557771464603,0.9864894986230649,0.43756003842459174,1.0,1.0,1.0,0.9925925925925926,1.0,1.0,1.0,1.0,0.9935022742040287,0.9943573667711599,0.9887106357694593,0.9925925925925926,0.9971590909090909,0.9659090909090909,0.9968652037617555,0.9876470588235294,1.0,0.9936224489795918,1.0,0.9981617647058824
multikrum,loud,0.4,0,0.9824700314122403,0.9775734260945136,0.987212119904801,0.10230547550432277,1.0,0.9992690058479532,0.9983333333333333,0.9962406015037595,0.9990009990009989,1.0,1.0,1.0,0.9858823529411764,0.9876543209876543,0.9913194444444444,0.9965909090909091,0.9965967101531481,0.9886039886039886,0.9993368700265253,0.9979166666666666,0.996811224489796,0.9743401759530792,0.9991902834008097,0.9902834008097166
multikrum,loud,0.4,1,0.9835077775214319,0.978724439312037,0.98724807121235,0.41450528338136405,0.989937106918239,0.9985556090515166,0.9969183359013868,1.0,1.0,1.0,1.0,1.0,0.9816949152542374,0.9811912225705328,0.9726678550207962,0.9918367346938775,0.9874643874643875,0.9976851851851851,0.9927884615384615,0.9805882352941175,1.0,0.9861111111111112,0.9794429708222812,0.9929687500000001
multikrum,loud,0.4,2,0.9822608212505648,0.975019659796955,0.9884344643614689,0.5590778097982709,1.0,1.0,0.9927536231884058,1.0,1.0,0.9885057471264367,1.0,1.0,0.9886621315192744,0.9901234567901235,0.9879240943070731,0.9977311401020987,0.9971639251276234,0.9846590909090909,0.9749271137026239,0.9871504157218443,0.9993827160493827,0.9831378299120235,0.99609375,0.9795918367346939
multikrum,loud,0.4,3,0.980692143208508,0.9746106415588035,0.9866153281994865,0.3261287223823247,0.9988095238095238,1.0,1.0,1.0,1.0,1.0,0.9929577464788732,1.0,0.9893086243763364,0.9838709677419355,0.9957932692307692,0.9959746981023577,0.9874141876430207,0.9948246118458883,0.9876543209876544,0.9910714285714286,0.9847480106100797,0.9965277777777778,0.9834558823529411,0.9976851851851851
